name	count
Dal	208
Dalberg	426
Dalgren	191
Dalin	537
Dalman	246
Dalström	213
Dalén	372
Damberg	765
Damm	383
Danell	519
Dang	468
Danho	452
Dani	178
Daniel	512
Daniels	455
Danielsen	306
Danielson	328
Danielsson	14135
Dannberg	217
Dao	243
Daoud	980
Darwich	289
Darwish	751
Das	337
Daud	188
Daun	509
Dautovic	213
David	486
Davidson	378
Davidsson	7219
Davies	288
Davis	286
Dawit	222
Dawod	225
Dawood	526
Dawoud	180
Debesay	193
Dedic	508
Degerlund	183
Degerman	805
Dehlin	305
Delen	186
Delic	424
Delin	720
Demir	1302
Demirel	376
Demiri	428
Demirkiran	269
Demirovic	396
Denaj	231
Deng	180
Deniz	327
Desta	210
Diab	360
Diallo	331
Diaz	400
Dib	240
Dibrani	239
Dickson	209
Didriksson	453
Dillner	193
Dimberg	207
Dimitrijevic	259
Dinh	440
Diriye	222
Dittmer	223
Dizdarevic	277
Djerf	589
Djordjevic	395
Djurberg	336
Djärv	213
Do	516
Doan	201
Dogan	690
Dolk	732
Domeij	471
Dong	201
Douhan	275
Drake	201
Drammeh	203
Drott	334
Drottz	191
Drotz	222
Drougge	329
Drugge	736
Du	212
Dufva	484
Duman	221
Dunder	329
Dunér	310
Duong	450
Durakovic	277
Duran	218
Duric	178
Durmaz	192
Dybeck	232
Dyberg	240
Dzafic	204
Düring	219
Ebbesson	412
Ebrahim	290
Ebrahimi	541
Eckerström	228
Ed	236
Edberg	2247
Edblad	234
Edblom	188
Edbom	264
Edelsvärd	183
Edfeldt	378
Edgren	1090
Edh	347
Edholm	1477
Edin	2460
Edler	244
Edling	758
Edlund	6220
Edman	2500
Edmark	383
Edmundsson	180
Edoff	255
Edqvist	650
Edstrand	226
Edström	4162
Edvall	391
Edvardsson	3633
Edvinsson	1770
Edwall	235
Edwards	292
Edén	588
Eek	493
Efraimsson	362
Egnell	383
Ehlin	345
Ehn	1280
Ehnberg	194
Ehrling	200
Eid	383
Eide	208
Einarsson	2582
Ejnarsson	257
Ek	8764
Ekberg	4776
Ekblad	1371
Ekblom	1365
Ekbom	384
Ekbäck	259
Ekdahl	2679
Ekeberg	385
Ekedahl	384
Ekegren	296
Ekelin	184
Ekelund	2898
Ekelöf	437
Eken	296
Ekenberg	861
Ekendahl	303
Ekengren	707
Ekenstierna	200
Eker	193
Ekeroth	611
Ekfeldt	364
Ekholm	3439
Ekici	187
Eklind	869
Eklund	14591
Eklundh	190
Eklöf	2948
Eklöv	520
Eklöw	210
Ekman	7347
Ekmark	378
Ekroth	551
Ekstam	304
Ekstedt	773
Ekstrand	3171
Ekström	9965
Ekvall	1687
Ekwall	440
Elander	586
Eld	447
Eldh	546
Elf	760
Elfgren	317
Elfsberg	182
Elfstrand	330
Elfström	1480
Elfving	1400
Elg	632
Elgh	295
Elgström	261
Elia	342
Elias	1055
Eliassi	215
Eliasson	10843
Elisson	504
Elliot	236
Ellström	507
Elm	608
Elmberg	256
Elmersson	230
Elmgren	681
Elmi	999
Elmlund	206
Elmquist	244
Elmqvist	589
Elofsson	2384
Elovsson	244
Elshani	189
Elvin	300
Elving	179
Elvingsson	182
Emanuelsson	3425
Embaye	200
Embretsen	287
Emilsson	2054
Emini	230
Emmoth	250
Enander	599
Enarsson	758
Enberg	1047
Enblom	305
Enbom	599
Enell	307
Eneroth	639
Eng	1206
Engberg	2969
Engblom	1501
Engborg	265
Engdahl	3049
Engel	228
Engelbrektsson	634
Engelin	307
Engelmark	265
Engfors	256
Engh	197
Engholm	559
Engkvist	465
Englesson	235
Englund	7565
Engman	3349
Engqvist	1271
Engstedt	231
Engstrand	1359
Engström	15062
Engvall	2137
Engwall	244
Enhörning	185
Enkvist	370
Enlund	601
Enmark	382
Enocksson	238
Enoksson	592
Enquist	279
Enqvist	946
Enroth	220
Enström	1673
Envall	585
Erdal	523
Erdogan	459
Ericson	3433
Ericsson	5743
Eriksen	741
Erikson	421
Eriksson	119624
Erixon	1503
Erkers	205
Erlandsson	6403
Erlingsson	325
Ernst	200
Ernstsson	478
Ersson	1023
Esberg	522
Esbjörnsson	700
Eskilsson	1474
Esping	275
Espinoza	192
Espling	178
Essa	207
Essén	248
Eurenius	347
Evald	209
Evaldsson	785
Evander	187
Evans	375
Evensson	185
Evers	240
Evertsson	1257
Fadel	227
Fager	944
Fagerberg	1433
Fagerholm	286
Fagerlind	243
Fagerlund	1150
Fagerstedt	184
Fagerström	2033
Fagrell	458
Fahlander	328
Fahlberg	332
Fahlgren	1013
Fahlman	302
Fahlstedt	284
Fahlström	963
Fahlén	1474
Faisal	247
Faizi	216
Fakhro	776
Falck	1241
Falk	8861
Falkenberg	319
Falkenström	389
Falkman	461
Fall	363
Fallenius	216
Fallgren	293
Fallqvist	190
Fallström	211
Faltin	210
Fant	257
Farah	2224
Faraj	707
Fares	351
Farhan	290
Farhat	367
Farkas	259
Farooq	191
Fast	1340
Fasth	734
Fatah	272
Fathi	227
Fatima	340
Fattah	214
Fayad	229
Fazlic	239
Feldt	755
Felldin	181
Feng	264
Ferati	235
Ferdinandsson	217
Ferizi	242
Ferm	2079
Fernandez	410
Fernando	275
Ferngren	210
Fernholm	194
Fernlund	409
Fernqvist	429
Fernström	1363
Feuk	228
Fhager	204
Fihn	218
Filipovic	459
Filipsson	1332
Fingal	306
Finn	364
Finnberg	196
Finnman	215
Finnström	246
Fischer	1311
Fjellborg	273
Fjellman	226
Fjellner	198
Fjellström	877
Fjäll	192
Fjällborg	218
Fjällman	206
Fjällström	607
Flemström	286
Flink	2118
Floberg	320
Flod	271
Flodberg	181
Flodin	1933
Flodman	415
Flodström	394
Flodén	449
Flood	680
Flores	366
Florin	618
Florén	833
Flyckt	304
Flygare	908
Flykt	224
Fogel	226
Fogelberg	1268
Fogelqvist	255
Fogelström	783
Fohlin	332
Folke	385
Folkesson	2352
Follin	234
Fondelius	178
Fornander	572
Fornell	234
Fornstedt	178
Fors	4295
Forsberg	15852
Forsblad	199
Forsblom	407
Forselius	357
Forsell	2477
Forsgren	2553
Forslin	432
Forslind	277
Forsling	726
Forslund	4297
Forslöf	193
Forsman	3845
Forsmark	836
Forss	1346
Forssberg	249
Forssell	1047
Forssman	207
Forsström	1796
Forssén	610
Forsén	819
Foss	197
Francis	254
Franck	420
Francke	240
Frank	2684
Franke	369
Franklin	433
Fransson	12535
Fransén	499
Frantz	204
Franzon	333
Franzén	6082
Fred	375
Fredberg	215
Fredell	186
Frederiksen	389
Fredholm	815
Fredin	1322
Fredlund	912
Fredman	371
Fredriksen	181
Fredrikson	219
Fredriksson	16632
Fredén	555
Freiholtz	247
Freij	1220
Freiman	181
Frej	352
Frejd	603
Frey	222
Fri	179
Friberg	7033
Friborg	178
Frick	1425
Frid	2073
Fridberg	211
Fridell	811
Fridh	1034
Fridholm	299
Fridlund	1208
Fridman	197
Fridolf	184
Fridolfsson	294
Fridström	353
Fridén	1094
Fries	271
Friis	435
Friman	1735
Frimodig	380
Frisell	561
Frisk	4098
Fristedt	512
Friström	253
Frisén	195
Frithiof	254
Fritz	1193
Fritzell	304
Fritzon	292
Fritzson	547
Frohm	331
From	1292
Frost	1032
Frykberg	302
Frykholm	310
Fryklund	384
Frykman	425
Fröberg	1709
Fröderberg	233
Frödin	487
Fröding	410
Fröjd	1524
Frölander	414
Fröling	265
Fu	248
Fuchs	323
Funck	335
Fundin	246
Funk	311
Funke	309
Furberg	404
Fyhr	633
Fäldt	663
Fällgren	262
Fällman	560
Fällström	282
Fält	1672
Fälth	439
Fältström	187
Färdig	403
Färm	314
Färnström	280
Fürst	214
Gabriel	338
Gabrielsson	2978
Gabro	261
Gadd	468
Gahm	188
Gahnström	288
Gajic	258
Gao	380
Garcia	589
Gard	377
Gardelin	275
Gardell	527
Gashi	1998
Gauffin	644
Gavelin	416
Gebrehiwet	247
Gebremariam	318
Gebremedhin	323
Gebremeskel	256
Gebremichael	263
Gedda	313
Geijer	389
Gelin	399
Genberg	413
Genc	200
George	571
Georges	319
Georgsson	959
Gerdin	795
Gerges	256
Gerhardsson	569
Germundsson	233
Gertsson	224
Gezelius	377
Ghaderi	299
Ghanem	221
Gharib	308
Ghasemi	273
Ghazal	326
Ghazi	220
Ghirmay	190
Gholami	580
Ghorbani	283
Gibson	296
Gidlund	1079
Gidlöf	494
Giertz	182
Gilbertsson	195
Gill	656
Gillberg	1403
Gille	548
Gillgren	238
Gilljam	231
Gillström	330
Girmay	189
Gisslén	210
Gjersvold	201
Glad	1019
Glader	182
Gladh	342
Glans	984
Glantz	398
Glas	287
Gleisner	221
Godin	185
Goitom	286
Gomez	292
Gonzalez	803
Good	276
Gordon	281
Gorgis	408
Gottberg	213
Gottfridsson	685
Gotthardsson	196
Goude	256
Gradin	1102
Graf	360
Graff	265
Grafström	495
Grahm	359
Grahn	4090
Gran	1073
Granat	877
Granath	2675
Granberg	3631
Granbom	386
Grandin	762
Granfors	179
Granholm	820
Grankvist	923
Granlund	2545
Granlöf	376
Grannas	244
Granquist	336
Granqvist	1711
Granstedt	262
Granström	2746
Grant	186
Grape	533
Green	2851
Grelsson	183
Gren	2184
Grenholm	360
Greus	180
Grgic	188
Grill	183
Grimberg	288
Grip	1458
Gross	299
Groth	825
Grubb	236
Grubbström	189
Grufman	293
Grund	405
Grundberg	614
Grundel	195
Grundin	233
Grunditz	312
Grundström	1613
Grundén	244
Gräns	276
Gräsberg	192
Gråberg	197
Gröhn	199
Grön	277
Grönberg	1739
Grönblad	250
Grönborg	252
Gröndahl	651
Gröndal	205
Grönholm	258
Gröning	322
Grönkvist	501
Grönlund	2143
Grönqvist	690
Grönroos	334
Grönvall	913
Gudmundsson	1265
Guldbrand	246
Guldstrand	215
Guled	277
Gull	211
Gullander	215
Gullberg	1968
Gullbrandsson	215
Gulliksson	294
Gullstrand	712
Gullström	216
Gummesson	641
Gundersen	223
Gunnarson	187
Gunnarsson	13488
Guo	355
Gupta	482
Gustafson	994
Gustafsson	62473
Gustavsson	22246
Gustin	192
Gyllander	301
Gyllenberg	230
Gyllenhammar	384
Gyllensten	264
Gylling	374
Gyllström	229
Gäfvert	318
Gärtner	179
Göker	183
Göransson	7535
Göras	193
Görgülü	228
Götesson	524
Göth	182
Göthberg	832
Göthe	656
Göthlin	331
Gül	349
Güler	208
Gültekin	465
Gümüs	210
Günes	229
Günther	303
Güven	248
Ha	294
Haag	1060
Haak	283
Haapala	238
Habib	809
Habibi	302
Habte	551
Habtemariam	256
Habtom	185
Hadad	186
Haddad	1267
Hadi	491
Hadzic	600
Hafström	411
Hag	265
Haga	312
Hagberg	3794
Hagdahl	304
Hagel	312
Hagelberg	457
Hagelin	1291
Hagen	523
Hager	217
Hagert	368
Haggren	311
Haglind	372
Haglund	6115
Haglöf	219
Hagman	3632
Hagos	730
Hagstedt	470
Hagsten	198
Hagström	4993
Hagvall	210
Hahlin	228
Hahn	411
Hahne	555
Haidar	500
Haidari	1211
Haider	369
Haile	1227
Hailu	235
Hajdari	322
Haji	1171
Hajo	294
Hakala	256
Hakim	180
Hakimi	357
Halef	247
Halili	294
Halilovic	661
Halimi	187
Haliti	322
Hall	4084
Hallak	240
Hallander	183
Hallberg	7447
Hallbäck	448
Halldin	864
Halldén	841
Hallenberg	360
Hallengren	521
Hallgren	3499
Hallin	2904
Halling	740
Hallkvist	269
Hallman	783
Hallquist	244
Hallqvist	1129
Hallsten	254
Hallstensson	317
Hallström	1956
Hallén	1442
Halonen	300
Halvardsson	638
Halvarsson	2375
Halvorsen	351
Halén	411
Hama	178
Hamad	894
Hamberg	1469
Hamdan	492
Hamdi	241
Hamed	567
Hameed	434
Hamid	1032
Hamidi	413
Hamilton	723
Hammami	181
Hammar	3444
Hammarberg	1413
Hammarbäck	712
Hammargren	652
Hammarlund	1251
Hammarqvist	296
Hammarstedt	818
Hammarsten	553
Hammarstrand	382
Hammarström	2975
Hammer	437
Hammoud	300
Hamo	413
Hamoud	181
Hamrin	833
Hamrén	600
Hamza	522
Hamzic	301
Han	315
Hana	234
Hane	364
Hanell	338
Hanna	3298
Hanning	335
Hannu	325
Hansen	7750
Hanson	668
Hansson	38154
Hansén	561
Haque	279
Haraldsson	2685
Hariri	191
Harju	552
Harlin	292
Harling	222
Harnesk	324
Harris	272
Harrison	203
Harryson	213
Harrysson	1754
Hartikainen	196
Hartman	709
Hartmann	276
Hartwig	214
Hartzell	248
Hasan	3181
Hasani	1177
Hasanovic	300
Hashem	243
Hashemi	666
Hashi	600
Hashim	317
Hashimi	309
Hasic	219
Hassan	8569
Hassani	876
Hassel	922
Hasselberg	577
Hasselblad	366
Hasselgren	772
Hasselqvist	329
Hasselström	331
Hassen	273
Hassoun	267
Hast	517
Haugen	310
Haydari	226
Haziri	282
He	569
Hector	386
Hed	1108
Hedberg	6980
Hedblad	203
Hedblom	814
Hedbom	269
Hedborg	252
Hedelin	316
Hedenberg	381
Hedendahl	214
Hedengren	245
Hedenskog	392
Hedenstedt	183
Hedenström	658
Hederstedt	245
Hedfors	194
Hedgren	214
Hedin	4403
Hedkvist	512
Hedlund	9563
Hedlöf	205
Hedman	5231
Hedmark	267
Hedqvist	1101
Hedrén	258
Hedström	5146
Hedvall	836
Hedén	1286
Heed	532
Heidari	699
Heikkilä	546
Heikkinen	613
Heimdahl	239
Heimer	285
Heino	238
Heinonen	566
Heiskanen	304
Hejazi	189
Hejdenberg	223
Hektor	199
Helander	1341
Held	196
Helenius	384
Helge	360
Helgesson	2713
Helin	1240
Hell	328
Hellberg	4659
Hellbom	211
Hellborg	304
Helldén	241
Hellerstedt	185
Hellgren	3300
Hellkvist	461
Hellman	3590
Hellmark	294
Hellner	277
Hellquist	405
Hellqvist	1761
Hellsing	412
Hellstadius	187
Hellsten	1136
Hellstrand	746
Hellström	8878
Helm	204
Helmer	216
Helmersson	1281
Helsing	713
Helén	274
Hemberg	306
Hemlin	378
Hemming	204
Hemmingsson	871
Hempel	187
Hemström	518
Henell	190
Hennig	183
Henning	857
Henningsson	2937
Henricson	283
Henricsson	295
Henriksen	651
Henrikson	237
Henriksson	15518
Henrysson	972
Herbertsson	575
Herbst	209
Herlin	274
Herlitz	313
Hermansen	209
Hermansson	9748
Hermelin	288
Hermez	181
Hernandez	425
Hero	258
Herou	185
Herrlin	341
Herrmann	296
Herrström	310
Hersi	390
Hertz	416
Hertzberg	560
Hertzman	529
Hesse	184
Hessel	444
Hesselgren	331
Hessling	182
Heurlin	307
Heydari	415
Heyman	244
Hietala	387
Hijazi	187
Hildebrand	430
Hilding	742
Hildingsson	905
Hildén	323
Hill	954
Hillberg	399
Hillbom	373
Hillborg	263
Hiller	454
Hillerström	411
Hillgren	432
Hillman	535
Hillström	379
Hilmersson	955
Hiltunen	529
Hinders	208
Hirsch	236
Hirsi	382
Hirvonen	261
Hjalmarsson	4360
