tld	type	unicode
.ieee	generic	.ieee
.ifm	generic	.ifm
.ikano	generic	.ikano
.il	country-code	.il
.im	country-code	.im
.imamat	generic	.imamat
.imdb	generic	.imdb
.immo	generic	.immo
.immobilien	generic	.immobilien
.in	country-code	.in
.inc	generic	.inc
.industries	generic	.industries
.infiniti	generic	.infiniti
.info	generic	.info
.ing	generic	.ing
.ink	generic	.ink
.institute	generic	.institute
.insurance	generic	.insurance
.insure	generic	.insure
.int	sponsored	.int
.international	generic	.international
.intuit	generic	.intuit
.investments	generic	.investments
.io	country-code	.io
.ipiranga	generic	.ipiranga
.iq	country-code	.iq
.ir	country-code	.ir
.irish	generic	.irish
.is	country-code	.is
.ismaili	generic	.ismaili
.ist	generic	.ist
.istanbul	generic	.istanbul
.it	country-code	.it
.itau	generic	.itau
.itv	generic	.itv
.jaguar	generic	.jaguar
.java	generic	.java
.jcb	generic	.jcb
.je	country-code	.je
.jeep	generic	.jeep
.jetzt	generic	.jetzt
.jewelry	generic	.jewelry
.jio	generic	.jio
.jll	generic	.jll
.jm	country-code	.jm
.jmp	generic	.jmp
.jnj	generic	.jnj
.jo	country-code	.jo
.jobs	sponsored	.jobs
.joburg	generic	.joburg
.jot	generic	.jot
.joy	generic	.joy
.jp	country-code	.jp
.jpmorgan	generic	.jpmorgan
.jprs	generic	.jprs
.juegos	generic	.juegos
.juniper	generic	.juniper
.kaufen	generic	.kaufen
.kddi	generic	.kddi
.ke	country-code	.ke
.kerryhotels	generic	.kerryhotels
.kerryproperties	generic	.kerryproperties
.kfh	generic	.kfh
.kg	country-code	.kg
.kh	country-code	.kh
.ki	country-code	.ki
.kia	generic	.kia
.kids	generic	.kids
.kim	generic	.kim
.kindle	generic	.kindle
.kitchen	generic	.kitchen
.kiwi	generic	.kiwi
.km	country-code	.km
.kn	country-code	.kn
.koeln	generic	.koeln
.komatsu	generic	.komatsu
.kosher	generic	.kosher
.kp	country-code	.kp
.kpmg	generic	.kpmg
.kpn	generic	.kpn
.kr	country-code	.kr
.krd	generic	.krd
.kred	generic	.kred
.kuokgroup	generic	.kuokgroup
.kw	country-code	.kw
.ky	country-code	.ky
.kyoto	generic	.kyoto
.kz	country-code	.kz
.la	country-code	.la
.lacaixa	generic	.lacaixa
.lamborghini	generic	.lamborghini
.lamer	generic	.lamer
.land	generic	.land
.landrover	generic	.landrover
.lanxess	generic	.lanxess
.lasalle	generic	.lasalle
.lat	generic	.lat
.latino	generic	.latino
.latrobe	generic	.latrobe
.law	generic	.law
.lawyer	generic	.lawyer
.lb	country-code	.lb
.lc	country-code	.lc
.lds	generic	.lds
.lease	generic	.lease
.leclerc	generic	.leclerc
.lefrak	generic	.lefrak
.legal	generic	.legal
.lego	generic	.lego
.lexus	generic	.lexus
.lgbt	generic	.lgbt
.li	country-code	.li
.lidl	generic	.lidl
.life	generic	.life
.lifeinsurance	generic	.lifeinsurance
.lifestyle	generic	.lifestyle
.lighting	generic	.lighting
.like	generic	.like
.lilly	generic	.lilly
.limited	generic	.limited
.limo	generic	.limo
.lincoln	generic	.lincoln
.link	generic	.link
.live	generic	.live
.living	generic	.living
.lk	country-code	.lk
.llc	generic	.llc
.llp	generic	.llp
.loan	generic	.loan
.loans	generic	.loans
.locker	generic	.locker
.locus	generic	.locus
.lol	generic	.lol
.london	generic	.london
.lotte	generic	.lotte
.lotto	generic	.lotto
.love	generic	.love
.lpl	generic	.lpl
.lplfinancial	generic	.lplfinancial
.lr	country-code	.lr
.ls	country-code	.ls
.lt	country-code	.lt
.ltd	generic	.ltd
.ltda	generic	.ltda
.lu	country-code	.lu
.lundbeck	generic	.lundbeck
.luxe	generic	.luxe
.luxury	generic	.luxury
.lv	country-code	.lv
.ly	country-code	.ly
.ma	country-code	.ma
.madrid	generic	.madrid
.maif	generic	.maif
.maison	generic	.maison
.makeup	generic	.makeup
.man	generic	.man
.management	generic	.management
.mango	generic	.mango
.map	generic	.map
.market	generic	.market
.marketing	generic	.marketing
.markets	generic	.markets
.marriott	generic	.marriott
.marshalls	generic	.marshalls
.mattel	generic	.mattel
.mba	generic	.mba
.mc	country-code	.mc
.mckinsey	generic	.mckinsey
.md	country-code	.md
.me	country-code	.me
.med	generic	.med
.media	generic	.media
.meet	generic	.meet
.melbourne	generic	.melbourne
.meme	generic	.meme
.memorial	generic	.memorial
.men	generic	.men
.menu	generic	.menu
.merck	generic	.merck
.merckmsd	generic	.merckmsd
.mg	country-code	.mg
.mh	country-code	.mh
.miami	generic	.miami
.microsoft	generic	.microsoft
.mil	sponsored	.mil
.mini	generic	.mini
.mint	generic	.mint
.mit	generic	.mit
.mitsubishi	generic	.mitsubishi
.mk	country-code	.mk
.ml	country-code	.ml
.mlb	generic	.mlb
.mls	generic	.mls
.mm	country-code	.mm
.mma	generic	.mma
.mn	country-code	.mn
.mo	country-code	.mo
.mobi	generic	.mobi
.mobile	generic	.mobile
.moda	generic	.moda
.moe	generic	.moe
.moi	generic	.moi
.mom	generic	.mom
.monash	generic	.monash
.money	generic	.money
.monster	generic	.monster
.mormon	generic	.mormon
.mortgage	generic	.mortgage
.moscow	generic	.moscow
.moto	generic	.moto
.motorcycles	generic	.motorcycles
.mov	generic	.mov
.movie	generic	.movie
.mp	country-code	.mp
.mq	country-code	.mq
.mr	country-code	.mr
.ms	country-code	.ms
