code	locality	addresses
31404	1369000	2920
31405	1369000	3640
31406	1369000	2758
31409	1369000	32
31415	1369000	1466
31419	1369000	3018
31421	1369000	10
31601	1378800	4556
31602	1378800	2629
31698	1378800	2
31701	1301052	2364
31707	1301052	2437
31721	1301052	1819
31808	1319000	232
31820	1319000	857
31829	1319000	145
31901	1319000	1407
31903	1319000	1593
31904	1319000	3676
31906	1319000	2065
31907	1319000	4344
31909	1319000	2688
32114	1216525	2648
32117	1216525	2348
32118	1216525	1569
32119	1216525	1627
32124	1216525	605
32127	1258575	2729
32128	1258575	1349
32129	1258575	1724
32137	1254200	3780
32164	1254200	4432
32168	1248625	4486
32169	1248625	1208
32174	1253150	4959
32176	1253150	1364
32202	1235000	970
32203	1235000	1
32204	1235000	1397
32205	1235000	3060
32206	1235000	2998
32207	1235000	3680
32208	1235000	3732
32209	1235000	4520
32210	1235000	5221
32211	1235000	2628
32212	1235000	68
32214	1235000	1
32216	1235000	2561
32217	1235000	1482
32218	1235000	5115
32219	1235000	1904
32220	1235000	1505
32221	1235000	2575
32222	1235000	1098
32223	1235000	2267
32224	1235000	2122
32225	1235000	4056
32226	1235000	1783
32227	1235000	142
32228	1235000	2
32233	1235000	1941
32234	1235000	821
32244	1235000	4070
32246	1235000	2950
32254	1235000	2518
32256	1235000	2222
32257	1235000	2630
32258	1235000	1959
32277	1235000	2016
32301	1270600	2621
32303	1270600	4290
32304	1270600	2387
32305	1270600	3035
32306	1270600	17
32307	1270600	8
32308	1270600	2318
32309	1270600	3574
32310	1270600	2517
32311	1270600	2019
32312	1270600	3320
32317	1270600	1695
32399	1270600	39
32401	1254700	3811
32404	1254700	4637
32405	1254700	3676
32501	1255925	2513
32502	1255925	1202
32503	1255925	4302
32504	1255925	2351
32536	1215475	2782
32539	1215475	3497
32601	1225175	2731
32603	1225175	484
32605	1225175	2780
32606	1225175	2234
32607	1225175	2232
32608	1225175	3522
32609	1225175	2440
32610	1225175	2
32612	1225175	23
32641	1225175	2205
32653	1225175	1651
32701	1200950	1534
32703	1201700	4685
32707	1211050	2453
32708	1278325	3078
32712	1201700	4224
32714	1200950	2044
32720	1216875	4542
32723	1216875	1
32724	1216875	4962
32725	1217200	4469
32726	1221350	3252
32735	1221350	603
32736	1221350	1958
32738	1217200	4344
32764	1217200	761
32765	1253575	4360
32766	1253575	1264
32768	1201700	2
32771	1263650	6090
32773	1263650	3220
32780	1271900	3399
32789	1278300	3092
32796	1271900	2630
32801	1253000	1015
32803	1253000	2774
32804	1253000	2390
32805	1253000	2590
32806	1253000	2985
32807	1253000	2210
32811	1253000	1705
32812	1253000	1918
32814	1253000	510
32819	1253000	2352
32822	1253000	2665
32827	1253000	1532
32829	1253000	884
32832	1253000	1516
32835	1253000	1836
32839	1253000	1903
32901	1243975	2707
32904	1276500	2528
32905	1254000	2039
32907	1254000	4221
32908	1254000	1974
32909	1254000	4446
32934	1243975	1501
32935	1243975	3317
32955	1261500	2810
32958	1264825	3507
33004	1216335	1462
33009	1228452	2211
33010	1230000	2278
33012	1230000	2703
