name	sex	count
Daphne	f	35484
Daquan	m	7747
Dara	f	12695
Darby	f	7980
Darci	f	6403
Darcy	f	22117
Darell	m	4894
Daren	m	10599
Daria	f	8478
Darian	f	6191
Darian	m	15852
Dariel	m	4804
Darien	m	10306
Darin	m	32374
Dario	m	9567
Darion	m	6964
Darius	m	51765
Darla	f	42515
Darleen	f	7378
Darlene	f	195872
Darnell	m	27967
Darold	m	3464
Daron	m	7510
Darrel	m	27079
Darrell	m	152206
Darren	m	102697
Darrian	m	3364
Darrick	m	8050
Darrin	m	29436
Darrion	m	4245
Darrius	m	7493
Darron	m	6119
Darryl	m	91651
Darwin	m	21872
Daryl	m	61339
Dashawn	m	8556
Dave	m	54162
Davian	m	5809
David	f	12112
David	m	3482754
Davin	m	10321
Davina	f	9018
Davion	m	12137
Davis	m	27082
Davon	m	12832
Davonte	m	4456
Dawn	f	287292
Dawson	m	40752
Dax	m	9196
Daxton	m	10234
Dayana	f	12900
Dayanara	f	6340
Dayna	f	14336
Dayne	m	3743
Dayton	m	13350
Deacon	m	8727
Dean	m	164825
Deana	f	23177
Deandre	m	28375
Deangelo	m	11683
Deann	f	10180
Deanna	f	133841
Deanne	f	14798
Debbie	f	187345
Debby	f	9684
Debora	f	29639
Deborah	f	739031
Debra	f	550362
Declan	m	43339
Dedrick	m	4342
Dee	f	14830
Dee	m	4507
Deena	f	13461
Deidra	f	10286
Deidre	f	14650
Deion	m	5517
Deirdre	f	16724
Deja	f	15917
Dejuan	m	5338
Del	m	3955
Delaney	f	38990
Delano	m	5321
Delbert	m	30465
Delia	f	26355
Delilah	f	44842
Della	f	31211
Delmar	m	8799
Delmer	m	4547
Delois	f	7683
Delores	f	98560
Deloris	f	28674
Delphine	f	6576
Delton	m	3848
Delvin	m	4879
Demarco	m	5390
Demarcus	m	13212
Demario	m	6145
Demetri	m	3802
Demetria	f	10725
Demetrius	m	34819
Demi	f	10956
Demond	m	5754
Dena	f	29626
Denice	f	10588
Denis	m	19096
Denise	f	371758
Denisse	f	6766
Dennis	m	603606
Denny	m	14622
Denton	m	4287
Denver	m	13161
Denzel	m	10384
Deon	m	14507
Deondre	m	3890
Deontae	m	3471
Deonte	m	7898
Dequan	m	3749
Dereck	m	6862
Derek	m	233004
Deric	m	4680
Derick	m	19117
Derik	m	5347
Deron	m	5616
Derrell	m	5555
Derrick	m	143543
Derwin	m	3654
Desean	m	3875
Deshaun	m	5467
Deshawn	m	15442
Desirae	f	12845
Desiree	f	82455
Desmond	m	35089
Destin	m	5565
Destinee	f	16412
Destiney	f	7620
Destini	f	7685
Destiny	f	148243
Devan	m	13347
Devante	m	8015
Deven	m	10422
Devin	f	17106
Devin	m	152791
Devon	f	20058
Devon	m	70982
Devonte	m	11239
Devyn	f	8368
Devyn	m	6519
Dewayne	m	25372
Dewey	m	20783
Dewitt	m	3826
Dexter	m	32890
Dhruv	m	3509
Diamond	f	32915
Diana	f	356627
Diane	f	515080
Diann	f	12235
Dianna	f	55757
Dianne	f	94876
Dick	m	21435
Dickie	m	4303
Diego	m	112261
Dilan	m	4392
Dillan	m	6766
Dillion	m	3561
Dillon	m	63263
Dimitri	m	8513
Dina	f	30170
Dinah	f	9551
Dino	m	8532
Dion	m	17896
Dionne	f	9766
Dirk	m	10787
Dixie	f	37015
Dollie	f	7479
Dolly	f	11955
Dolores	f	146325
Domenic	m	8685
Domenick	m	3667
Domingo	m	11778
Dominic	m	167047
Dominick	m	54603
Dominik	m	9124
Dominique	f	50419
Dominique	m	22849
Don	m	142614
Dona	f	14453
Donald	m	1156872
Donavan	m	7982
Donavon	m	5036
Donell	m	4647
Donn	m	5727
Donna	f	799164
Donnell	m	13798
Donnie	m	59307
Donny	m	12719
Donovan	m	57227
Donta	m	3820
Dontae	m	5696
Donte	m	15269
Dora	f	49215
Doreen	f	44304
Dorene	f	7171
Doretha	f	6548
Dorian	m	21496
Doris	f	246825
Dorothea	f	14780
Dorothy	f	480373
Dorthy	f	11994
Dottie	f	7582
Doug	m	22421
Douglas	m	532363
Douglass	m	5063
